DATE,DTB4WK
15/09/2017,0.96
18/09/2017,0.94
19/09/2017,0.96
20/09/2017,0.97
21/09/2017,0.97
22/09/2017,0.95
25/09/2017,0.95
26/09/2017,0.95
27/09/2017,0.97
28/09/2017,0.95
29/09/2017,0.94
2/10/2017,0.93
3/10/2017,0.99
4/10/2017,0.98
5/10/2017,1
6/10/2017,1.01
9/10/2017,.
10/10/2017,1.02
11/10/2017,1.02
12/10/2017,0.97
13/10/2017,0.95
16/10/2017,0.94
17/10/2017,0.97
18/10/2017,0.97
19/10/2017,0.97
20/10/2017,0.97
23/10/2017,0.98
24/10/2017,0.99
25/10/2017,0.99
26/10/2017,0.97
27/10/2017,0.96
30/10/2017,0.94
31/10/2017,0.98
1/11/2017,1.04
2/11/2017,1
3/11/2017,1
6/11/2017,1
7/11/2017,1.03
8/11/2017,1.03
9/11/2017,1.05
10/11/2017,1.03
13/11/2017,1.04
14/11/2017,1.04
15/11/2017,1.06
16/11/2017,1.06
17/11/2017,1.05
20/11/2017,1.05
